 основни икономически дейности и квалификационни групи професии	
59	Търговия на едро с фармацевтични стоки, медицинска техника и апаратура; Търговия на дребно с лекарства и други фармацевтични стоки; Търговия на дребно с медицински и ортопедични стоки
60	Хотелиерство; Ресторантьорство; Туристическа агентска и операторска дейност; други дейности, свързани с пътувания и резервации
61	Пътнически железопътен транспорт, междуселищен; Товарен железопътен транспорт; Складиране на товари и спомагателни дейности в железопътния транспорт
62	Друг пътнически сухопътен транспорт; Товарен автомобилен транспорт и услуги по преместване
63	Воден транспорт
64	Въздушен транспорт
65	Складиране на товари и спомагателни дейности в транспорта (без железопътен транспорт)
66	Пощенски и куриерски дейности
67	Радио- и телевизионна дейност; Далекосъобщения
68	ФИНАНСОВИ И ЗАСТРАХОВАТЕЛНИ ДЕЙНОСТИ
69	Дейности в областта на информационните технологии; Информационни услуги; ОПЕРАЦИИ С НЕДВИЖИМИ ИМОТИ; ПРОФЕСИОНАЛНИ ДЕЙНОСТИ И НАУЧНИ ИЗСЛЕДВАНИЯ; АДМИНИСТРАТИВНИ И СПОМАГАТЕЛНИ ДЕЙНОСТИ
70	Дейности по охрана и разследване
71	Научноизследователска и развойна дейност
72	ДЪРЖАВНО УПРАВЛЕНИЕ
73	ОБРАЗОВАНИЕ
74	ХУМАННО ЗДРАВЕОПАЗВАНЕ И СОЦИАЛНА РАБОТА /без медицинска сестра, акушерка, рехабилитатор, фелдшер и лаборант, включително главните и старшите/; Ветеринарномедицинска дейност 
75	Дейност на болници /без  началник клиника/отделение, медицинска сестра, акушерка, рехабилитатор, фелдшер и лаборант, включително главните и старшите/
76	Медико-социални грижи с настаняване; Социална работа без настаняване
77	КУЛТУРА, СПОРТ И РАЗВЛЕЧЕНИЯ /за 93.12 Дейност на спортни клубове -  без професионален спортист във футболен клуб/
78	Ремонт на компютърна техника, на лични и домакински вещи; Други персонални услуги; ДЕЙНОСТИ НА ДОМАКИНСТВА КАТО РАБОТОДАТЕЛИ; 
79	Дейности на организации с нестопанска цел (без дейност на религиозни организации); Дейности на екстериториални организации и служби
80	Дейност на спортни клубове /само за професионален спортист във футболен клуб/
81	Централен  кооперативен  съюз
82	ХУМАННО ЗДРАВЕОПАЗВАНЕ И СОЦИАЛНА РАБОТА /само за медицинска сестра, акушерка, рехабилитатор, фелдшер и лаборант/ 
83	Дейност на болници /само за  началник клиника/отделение /
84	Дейност на болници /само за  медицинска сестра, акушерка, рехабилитатор, фелдшер и лаборант/
85	Дейност на религиозни организации
99	Бюджетни предприятия не прилагащи МОД
